competition,fixture_id,kickoff,home,away,our_home,our_draw,our_away,our_hg,our_ag,b365_h,b365_d,b365_a
Eredivisie,19714654,2026-08-22 18:00:00,NEC Nijmegen,Excelsior,52.72,23.71,23.57,1.98,1.28,1.44,4.50,6.25
Eredivisie,19714652,2026-08-22 19:00:00,SC Heerenveen,PEC Zwolle,56.83,22.10,21.07,2.18,1.28,1.60,4.10,4.75
Eredivisie,19714651,2026-08-23 10:15:00,Go Ahead Eagles,ADO Den Haag,44.53,24.20,31.27,1.87,1.55,1.70,3.80,4.33
Eredivisie,19714650,2026-08-23 12:30:00,PSV,FC Groningen,68.45,18.29,13.26,2.55,1.08,1.33,5.00,7.50
Eredivisie,19714649,2026-08-23 14:45:00,SC Cambuur,Feyenoord,10.16,16.11,73.73,0.98,2.75,9.50,5.50,1.25
La Liga,19732724,2026-08-20 19:00:00,Rayo Vallecano,Deportivo Alavés,44.68,28.07,27.25,1.61,1.22,2.25,3.00,3.60
La Liga,19732730,2026-08-21 19:00:00,Real Betis,Real Sociedad,49.18,26.28,24.54,1.81,1.23,2.10,3.40,3.60
La Liga,19732732,2026-08-22 15:00:00,Athletic Club,Sevilla,48.91,30.14,20.95,1.47,0.89,1.73,3.60,5.25
La Liga,19732723,2026-08-22 17:30:00,Valencia,Celta de Vigo,45.80,30.04,24.16,1.47,1.01,2.35,3.25,3.25
La Liga,19732728,2026-08-22 19:30:00,Espanyol,Real Madrid,20.48,27.54,51.99,1,1.69,8.00,4.33,1.44
La Liga,19732731,2026-08-23 15:00:00,Atlético Madrid,Villarreal,51.25,26.51,22.25,1.79,1.13,1.91,3.60,4.00
La Liga,19732727,2026-08-23 17:30:00,Getafe,Racing Santander,41.49,33.50,25.01,1.2,0.88,2.20,2.88,4.00
La Liga,19732729,2026-08-23 19:30:00,Elche,FC Barcelona,18.24,24.52,57.24,1.06,1.98,9.50,5.25,1.33
La Liga,19732725,2026-08-24 17:30:00,Osasuna,Levante,46.81,28.72,24.48,1.58,1.09,1.83,3.60,4.33
La Liga,19732726,2026-08-24 19:30:00,Málaga,Deportivo La Coruña,42.65,29.81,27.53,1.45,1.13,2.60,3.10,2.75
La Liga,19732733,2026-08-25 19:00:00,Valencia,Real Betis,39.60,30.71,29.69,1.35,1.14,2.60,3.25,2.60
La Liga,19732735,2026-08-26 19:00:00,Real Madrid,Real Sociedad,67.51,20.06,12.43,2.39,0.97,1.38,5.00,6.50
La Liga,19732740,2026-08-27 18:30:00,Celta de Vigo,Osasuna,48.64,27.71,23.65,1.58,1.02,1.95,3.30,3.90
League One,19728318,2026-08-20 19:00:00,Sheffield Wednesday,Bradford City,43.78,31.28,24.94,1.33,0.94,2.35,3.30,2.75
League One,19728321,2026-08-22 11:30:00,Luton Town,Notts County,57.84,23.86,18.30,2.01,1.07,1.56,3.90,4.75
League One,19728323,2026-08-22 11:30:00,Doncaster Rovers,Barnsley,44.46,26.62,28.93,1.69,1.34,1.91,3.50,3.50
League One,19728314,2026-08-22 14:00:00,Wycombe Wanderers,Plymouth Argyle,38.55,24.39,37.06,1.8,1.76,2.25,3.30,2.75
League One,19728315,2026-08-22 14:00:00,Wigan Athletic,Leyton Orient,38.97,28.57,32.46,1.45,1.31,2.10,3.20,3.20
League One,19728316,2026-08-22 14:00:00,Stockport County,Blackpool,49.11,25.74,25.15,1.82,1.26,1.51,3.75,5.50
League One,19728317,2026-08-22 14:00:00,Stevenage,Oxford United,29.97,32.84,37.19,1.01,1.15,2.25,3.20,2.85
League One,19728319,2026-08-22 14:00:00,Peterborough United,Mansfield Town,36.66,26.43,36.91,1.57,1.58,2.70,3.50,2.20
League One,19728320,2026-08-22 14:00:00,Milton Keynes Dons,Huddersfield Town,33.30,29.00,37.70,1.3,1.39,2.32,3.25,2.70
League One,19728322,2026-08-22 14:00:00,Leicester City,Burton Albion,61.69,22.91,15.40,2.07,0.96,1.46,4.00,5.75
League One,19728324,2026-08-22 14:00:00,Bromley,Cambridge United,31.62,29.52,38.86,1.23,1.38,2.57,3.20,2.50
League One,19728325,2026-08-22 14:00:00,AFC Wimbledon,Reading,30.73,29.38,39.89,1.21,1.41,2.40,3.25,2.65
League Two,19727762,2026-08-22 11:30:00,Walsall,Grimsby Town,32.85,28.62,38.53,1.31,1.44,2.70,3.20,2.40
League Two,19727765,2026-08-22 11:30:00,Salford City,Chesterfield,40.64,29.58,29.78,1.4,1.17,1.96,3.25,3.50
League Two,19727773,2026-08-22 11:30:00,Bristol Rovers,Newport County,49.72,26.89,23.40,1.71,1.12,1.61,3.60,4.75
League Two,19727763,2026-08-22 14:00:00,Swindon Town,Cheltenham Town,45.67,27.30,27.03,1.64,1.23,1.71,3.60,4.20
League Two,19727764,2026-08-22 14:00:00,Shrewsbury Town,Barnet,25.40,28.33,46.27,1.11,1.56,3.80,3.40,1.86
League Two,19727766,2026-08-22 14:00:00,Rotherham United,York City,39.71,27.19,33.10,1.57,1.42,2.40,3.20,2.70
League Two,19727767,2026-08-22 14:00:00,Rochdale,Crawley Town,43.36,29.03,27.61,1.48,1.14,1.86,3.30,3.80
League Two,19727768,2026-08-22 14:00:00,Port Vale,Tranmere Rovers,48.39,28.98,22.63,1.52,0.97,1.66,3.50,4.75
League Two,19727769,2026-08-22 14:00:00,Fleetwood Town,Gillingham,45.41,27.40,27.19,1.63,1.22,1.91,3.30,3.70
League Two,19727770,2026-08-22 14:00:00,Exeter City,Accrington Stanley,44.23,29.22,26.55,1.47,1.1,1.86,3.30,3.70
League Two,19727771,2026-08-22 14:00:00,Crewe Alexandra,Northampton Town,43.09,28.24,28.67,1.54,1.22,2.10,3.40,3.00
League Two,19727772,2026-08-22 14:00:00,Colchester United,Oldham Athletic,37.32,29.19,33.49,1.37,1.29,2.35,3.20,2.70
Liga Portugal,19736836,2026-08-22 14:30:00,Marítimo,Academico Viseu,48.70,27.69,23.61,1.57,1.03,1.96,3.25,3.75
Liga Portugal,19736838,2026-08-22 17:00:00,Estoril,Rio Ave,48.65,26.61,24.74,1.66,1.13,1.86,3.40,3.90
Liga Portugal,19736832,2026-08-22 19:30:00,Sporting CP,Alverca,73.70,17.21,9.10,2.49,0.79,1.17,6.50,12.00
Liga Portugal,19736831,2026-08-23 14:30:00,Vitória Guimarães,Nacional,52.36,25.74,21.90,1.76,1.07,1.66,3.70,5.00
Liga Portugal,19736833,2026-08-23 17:00:00,Santa Clara,Famalicão,31.39,32.83,35.78,1,1.08,2.50,3.00,3.00
Liga Portugal,19736834,2026-08-23 19:30:00,Porto,Arouca,73.76,17.98,8.27,2.33,0.67,1.15,5.75,13.00
Liga Portugal,19736837,2026-08-24 19:15:00,Gil Vicente,Casa Pia,56.72,27.24,16.04,1.6,0.74,1.62,3.50,5.25
Ligue 1,19715633,2026-08-21 18:45:00,Olympique Marseille,Strasbourg,48.75,24.04,27.21,1.97,1.43,1.73,4.00,4.50
Ligue 1,19715634,2026-08-22 15:15:00,Lens,Auxerre,58.74,22.72,18.54,2.08,1.08,1.57,4.50,5.00
Ligue 1,19715629,2026-08-22 18:45:00,Troyes,Paris,31.87,28.01,40.13,1.28,1.46,3.20,3.30,2.30
Ligue 1,19715630,2026-08-22 18:45:00,Toulouse,Olympique Lyonnais,33.15,28.24,38.61,1.3,1.42,2.90,3.50,2.38
Ligue 1,19715632,2026-08-22 18:45:00,Nice,Lorient,41.67,26.80,31.53,1.59,1.35,2.10,3.50,3.40
Ligue 1,19715635,2026-08-22 18:45:00,Le Mans,Brest,32.72,30.48,36.79,1.15,1.24,2.50,3.50,2.75
Ligue 1,19715637,2026-08-23 13:00:00,Angers SCO,LOSC Lille,20.95,28.82,50.23,0.86,1.5,5.25,3.70,1.70
Ligue 1,19715636,2026-08-23 15:15:00,Le Havre,Monaco,26.81,24.86,48.33,1.34,1.86,4.00,3.70,1.90
Ligue 1,19715631,2026-08-23 18:45:00,Paris Saint Germain,Rennes,69.92,17.72,12.36,2.61,1.02,1.42,5.00,7.00
Major League Soccer,19609712,2026-08-19 23:30:00,Philadelphia Union,Inter Miami,39.86,22.17,37.97,2.02,1.98,2.25,4.10,2.57
Major League Soccer,19609714,2026-08-19 23:30:00,Cincinnati,New York City,44.05,23.90,32.05,1.9,1.6,1.71,4.20,4.00
Major League Soccer,19609716,2026-08-19 23:30:00,Columbus Crew,CF Montréal,52.35,25.36,22.28,1.8,1.11,1.68,4.00,4.50
Major League Soccer,19609718,2026-08-19 23:30:00,New York RB,Nashville SC,29.61,24.88,45.50,1.43,1.81,2.57,3.80,2.40
Major League Soccer,19609720,2026-08-19 23:30:00,Orlando City,Chicago Fire,32.72,23.58,43.70,1.66,1.93,2.50,4.00,2.40
Major League Soccer,19609722,2026-08-19 23:30:00,Toronto,Charlotte,35.78,28.24,35.98,1.35,1.35,2.35,3.60,2.65
Major League Soccer,19609724,2026-08-19 23:30:00,DC United,New England,39.35,26.92,33.72,1.52,1.4,2.55,3.50,2.55
Major League Soccer,19609726,2026-08-20 00:00:00,Sporting KC,St. Louis City,19.65,23.75,56.60,1.09,1.96,3.90,4.00,1.79
Major League Soccer,19609727,2026-08-20 00:30:00,Minnesota United,Atlanta United,50.75,25.72,23.54,1.76,1.14,1.57,4.20,5.00
Major League Soccer,19609728,2026-08-20 01:30:00,Colorado Rapids,Los Angeles FC,34.81,27.10,38.09,1.41,1.48,2.35,3.60,2.75
Major League Soccer,19609729,2026-08-20 01:30:00,Seattle Sounders,Austin,60.80,22.06,17.15,2.13,1.07,1.76,3.75,4.33
Major League Soccer,19609730,2026-08-20 01:30:00,Real Salt Lake,Dallas,41.58,27.43,30.99,1.52,1.28,1.96,3.80,3.40
Major League Soccer,19609731,2026-08-20 02:30:00,LA Galaxy,SJ Earthquakes,37.94,25.13,36.93,1.65,1.63,2.10,3.90,3.10
Major League Soccer,19609732,2026-08-20 02:30:00,Vancouver Whitecaps,Houston Dynamo,61.86,24.57,13.57,1.79,0.73,1.49,4.20,6.00
Major League Soccer,19609733,2026-08-20 02:30:00,Portland Timbers,San Diego,43.29,24.59,32.12,1.81,1.54,1.91,4.00,3.40
Major League Soccer,19609734,2026-08-22 23:30:00,Inter Miami,Toronto,66.76,19.17,14.07,2.44,1.07,1.30,5.25,8.50
Major League Soccer,19609735,2026-08-22 23:30:00,Cincinnati,Seattle Sounders,47.66,23.26,29.08,2.01,1.55,1.76,4.00,3.70
Major League Soccer,19609736,2026-08-22 23:30:00,CF Montréal,LA Galaxy,41.53,26.35,32.13,1.61,1.4,2.15,3.50,3.00
Major League Soccer,19609737,2026-08-22 23:30:00,New York RB,Chicago Fire,29.12,23.31,47.57,1.55,2.01,2.85,3.80,2.10
Major League Soccer,19609738,2026-08-22 23:30:00,Orlando City,Real Salt Lake,39.23,24.55,36.21,1.74,1.66,1.76,4.20,3.60
Major League Soccer,19609739,2026-08-22 23:30:00,Charlotte,DC United,52.93,23.77,23.30,1.97,1.26,1.79,3.70,3.90
Major League Soccer,19609740,2026-08-23 00:30:00,Nashville SC,Columbus Crew,48.58,27.31,24.10,1.6,1.07,1.68,3.80,4.33
Major League Soccer,19609741,2026-08-23 00:30:00,Austin,Philadelphia Union,27.00,24.36,48.65,1.38,1.89,3.10,3.50,2.15
Major League Soccer,19609742,2026-08-23 00:30:00,St. Louis City,Houston Dynamo,45.92,29.20,24.88,1.43,0.99,2.01,3.60,3.25
Major League Soccer,19609743,2026-08-23 01:30:00,Vancouver Whitecaps,Dallas,64.00,21.58,14.42,2.13,0.93,1.45,4.33,6.00
Major League Soccer,19609744,2026-08-23 02:30:00,Los Angeles FC,Portland Timbers,57.08,22.49,20.43,2.12,1.22,1.51,4.33,5.00
Major League Soccer,19609745,2026-08-23 02:30:00,San Diego,Colorado Rapids,46.58,25.70,27.73,1.74,1.3,1.91,3.70,3.40
Major League Soccer,19609746,2026-08-23 02:30:00,SJ Earthquakes,Minnesota United,51.10,23.97,24.93,1.95,1.32,2.01,3.70,3.20
Major League Soccer,19609747,2026-08-23 20:30:00,New England,New York City,38.07,27.41,34.52,1.46,1.38,2.57,3.60,2.35
Major League Soccer,19609748,2026-08-23 23:00:00,Atlanta United,Sporting KC,58.28,23.82,17.90,1.94,0.99,1.66,3.90,4.33
Premier League,19722203,2026-08-21 19:00:00,Arsenal,Coventry City,79.82,15.10,5.08,2.54,0.54,1.18,7.50,15.00
Premier League,19722202,2026-08-22 11:30:00,Hull City,Manchester United,12.68,21.18,66.14,0.88,2.2,8.50,5.00,1.36
Premier League,19722199,2026-08-22 14:00:00,Nottingham Forest,Leeds United,44.83,28.86,26.31,1.5,1.11,2.30,3.40,3.10
Premier League,19722200,2026-08-22 14:00:00,Ipswich Town,Sunderland,35.64,30.75,33.60,1.24,1.2,2.80,3.20,2.70
Premier League,19722201,2026-08-22 14:00:00,Everton,Crystal Palace,40.24,30.97,28.78,1.3,1.07,2.15,3.40,3.40
Premier League,19722198,2026-08-22 16:30:00,Brentford,Tottenham Hotspur,41.28,28.51,30.21,1.49,1.25,2.40,3.60,2.80
Premier League,19722196,2026-08-23 13:00:00,Manchester City,AFC Bournemouth,64.88,20.86,14.26,2.29,1.01,1.48,4.50,6.25
Premier League,19722197,2026-08-23 13:00:00,Brighton & Hove Albion,Aston Villa,44.10,28.54,27.36,1.52,1.16,2.20,3.70,3.10
Premier League,19722195,2026-08-23 15:30:00,Newcastle United,Liverpool,31.74,27.58,40.68,1.35,1.55,3.75,3.75,1.95
Premier League,19722194,2026-08-24 19:00:00,Fulham,Chelsea,26.10,28.28,45.62,1.13,1.56,3.75,3.75,1.95
Premier League,19722189,2026-08-28 19:00:00,Crystal Palace,Manchester City,21.35,27.73,50.92,0.99,1.63,,,
Premier League,19722187,2026-08-29 11:30:00,Liverpool,Nottingham Forest,52.37,28.10,19.53,1.6,0.89,,,
Premier League,19722190,2026-08-29 14:00:00,Coventry City,Hull City,53.75,25.24,21.01,1.87,1.11,,,
Premier League,19722193,2026-08-29 14:00:00,AFC Bournemouth,Everton,48.77,26.73,24.50,1.71,1.17,,,
Premier League,19722184,2026-08-29 16:30:00,Tottenham Hotspur,Newcastle United,46.62,27.31,26.07,1.65,1.19,,,
Saudi Pro League,19777717,2026-08-20 18:00:00,Al-Fayha,Al Hilal,9.18,17.67,73.15,0.72,2.4,8.50,5.75,1.22
Saudi Pro League,19777716,2026-08-21 16:00:00,Al Riyadh,Al Nassr,9.82,16.51,73.67,0.87,2.63,8.00,5.75,1.25
Saudi Pro League,19777715,2026-08-21 16:15:00,Al Hazm,Al Draih,32.54,27.66,39.80,1.32,1.49,3.25,3.25,2.00
Saudi Pro League,19777713,2026-08-21 18:00:00,Al-Qadsiah,Al Ittihad,55.60,22.70,21.70,2.13,1.27,1.67,3.75,3.90
Saudi Pro League,19777714,2026-08-21 18:00:00,Al Faisaly,NEOM SC,28.11,25.46,46.43,1.34,1.78,3.80,4.00,1.65
Saudi Pro League,19777712,2026-08-22 15:45:00,Al Fateh,Al Ettifaq,42.72,25.88,31.40,1.7,1.43,2.15,3.40,2.80
Saudi Pro League,19777711,2026-08-22 16:10:00,Al Kholood,Al Taawoun,30.71,28.42,40.87,1.22,1.44,2.75,3.25,2.25
Saudi Pro League,19777709,2026-08-22 18:00:00,Al Ahli,Abha,75.67,16.78,7.54,2.41,0.62,1.22,5.50,9.00
Saudi Pro League,19777710,2026-08-22 18:00:00,Al Khaleej,Al Shabab,36.99,25.31,37.70,1.64,1.66,2.63,3.50,2.20
Saudi Pro League,19777699,2026-08-24 16:40:00,NEOM SC,Al-Qadsiah,27.35,25.53,47.11,1.31,1.78,,,
Saudi Pro League,19777698,2026-08-24 18:00:00,Al Ittihad,Al Hazm,60.78,22.43,16.80,2.08,1,,,
Saudi Pro League,19777697,2026-08-25 16:05:00,Abha,Al Khaleej,37.94,28.19,33.88,1.41,1.32,,,
Saudi Pro League,19777696,2026-08-25 16:10:00,Al Taawoun,Al-Fayha,48.89,27.52,23.59,1.6,1.03,,,
Saudi Pro League,19777694,2026-08-25 18:00:00,Al Shabab,Al Riyadh,55.92,22.04,22.04,2.23,1.35,,,
Saudi Pro League,19777695,2026-08-25 18:00:00,Al Ettifaq,Al Nassr,13.04,18.78,68.18,0.99,2.46,,,
Scottish Premiership,19722806,2026-08-22 14:00:00,St. Johnstone,Celtic,14.48,20.02,65.50,1.01,2.34,6.50,4.50,1.41
Scottish Premiership,19722807,2026-08-22 14:00:00,Rangers,St. Mirren,73.47,16.99,9.54,2.53,0.8,1.27,5.25,9.00
Scottish Premiership,19722808,2026-08-22 14:00:00,Motherwell,Aberdeen,48.73,26.04,25.23,1.73,1.18,2.25,3.30,2.85
Scottish Premiership,19722809,2026-08-22 14:00:00,Hibernian,Kilmarnock,55.98,21.74,22.29,2.29,1.4,1.62,3.75,4.75
Scottish Premiership,19722810,2026-08-22 14:00:00,Falkirk,Hearts,32.10,28.44,39.47,1.26,1.42,2.82,3.40,2.25
Scottish Premiership,19722811,2026-08-22 16:45:00,Dundee United,Dundee,46.72,25.32,27.95,1.8,1.35,1.96,3.60,3.50
Serie A,19713609,2026-08-22 16:30:00,Udinese,Como,22.08,27.75,50.16,0.96,1.58,4.20,3.50,1.80
Serie A,19713613,2026-08-22 16:30:00,Inter,Monza,79.30,14.37,6.33,2.67,0.63,1.20,6.25,13.00
Serie A,19713612,2026-08-22 18:45:00,Parma,Cagliari,36.96,32.59,30.44,1.13,1,2.45,3.10,2.88
Serie A,19713614,2026-08-22 18:45:00,Genoa,Napoli,22.17,29.33,48.50,0.89,1.45,4.50,3.25,1.85
Serie A,19713608,2026-08-23 16:30:00,Venezia,Lecce,44.15,29.77,26.09,1.39,1,2.25,3.10,3.30
Serie A,19713615,2026-08-23 16:30:00,Frosinone,Juventus,13.52,20.24,66.24,0.92,2.27,7.00,3.90,1.48
Serie A,19713610,2026-08-23 18:45:00,Torino,AC Milan,23.18,25.98,50.84,1.1,1.75,4.33,3.60,1.80
Serie A,19713617,2026-08-23 18:45:00,Atalanta,Sassuolo,57.01,24.39,18.60,1.89,0.98,1.50,4.10,6.25
Serie A,19713616,2026-08-24 16:30:00,Bologna,Lazio,41.75,31.56,26.69,1.25,0.94,2.15,3.20,3.40
Serie A,19713611,2026-08-24 18:45:00,Roma,Fiorentina,56.13,25.66,18.21,1.76,0.89,1.55,3.90,5.75
Super League,19720018,2026-08-22 14:30:00,Thun,Servette,47.22,24.48,28.29,1.9,1.43,,,
Super League,19720017,2026-08-22 16:00:00,Luzern,Lausanne Sport,45.29,24.63,30.07,1.87,1.49,1.81,3.75,3.50
Super League,19720016,2026-08-22 18:30:00,Zürich,Basel,27.02,24.93,48.05,1.34,1.85,3.00,3.60,2.05
Super League,19720015,2026-08-23 12:00:00,Young Boys,Vaduz,73.03,15.21,11.76,3.08,1.23,1.25,5.25,9.00
Super League,19720013,2026-08-23 14:30:00,Lugano,St. Gallen,45.06,26.03,28.91,1.71,1.33,1.86,3.60,3.40
Super League,19720014,2026-08-23 14:30:00,Grasshopper,Sion,25.46,25.64,48.90,1.22,1.78,3.70,3.70,1.79
Super Lig,19746637,2026-08-21 18:30:00,Erzurumspor FK,Galatasaray,17.06,24.38,58.56,0.9,1.87,8.00,4.50,1.37
Super Lig,19746640,2026-08-22 16:00:00,Çorum FK,Kasımpaşa,42.94,29.30,27.75,1.41,1.08,2.25,3.50,2.55
Super Lig,19746642,2026-08-22 16:00:00,Rizespor,Samsunspor,44.48,25.93,29.60,1.71,1.36,2.20,3.40,3.00
Super Lig,19746639,2026-08-22 18:30:00,Fenerbahçe,Konyaspor,74.96,15.99,9.05,2.66,0.83,1.24,5.00,9.50
Super Lig,19746644,2026-08-23 16:00:00,Eyüpspor,Gaziantep F.K.,38.13,29.50,32.36,1.32,1.2,2.65,3.30,2.32
Super Lig,19746645,2026-08-23 16:00:00,Trabzonspor,İstanbul Başakşehir,51.06,23.85,25.10,2,1.35,2.01,3.60,3.20
Super Lig,19746641,2026-08-23 18:30:00,Göztepe,Gençlerbirliği,59.71,23.71,16.58,1.93,0.91,1.57,3.80,4.75
Super Lig,19746643,2026-08-23 18:30:00,Alanyaspor,Beşiktaş,25.41,28.60,45.99,1.04,1.49,3.75,3.60,1.81
Super Lig,19746638,2026-08-24 18:30:00,Kocaelispor,Amed SK,39.76,30.84,29.40,1.27,1.05,2.10,3.60,2.85
Superliga,19713986,2026-08-23 10:00:00,Sønderjyske Fodbold,Nordsjælland,30.65,26.88,42.47,1.32,1.6,3.50,3.70,1.76
Superliga,19713984,2026-08-23 12:00:00,FC Midtjylland,Randers FC,61.28,24.00,14.72,1.87,0.79,1.41,4.20,6.50
Superliga,19713988,2026-08-23 12:00:00,AGF,Odense BK,54.89,22.99,22.13,2.1,1.27,1.68,3.90,4.33
Superliga,19713982,2026-08-23 14:00:00,Horsens,Lyngby Boldklub,27.90,27.15,44.95,1.21,1.6,2.82,3.30,2.35
Superliga,19713980,2026-08-23 16:00:00,Viborg FF,FC København,24.03,22.85,53.12,1.39,2.13,2.85,3.50,2.10
Superliga,19713978,2026-08-24 17:00:00,Brøndby IF,Silkeborg IF,59.76,23.32,16.92,1.98,0.95,1.39,4.50,6.25
